stop_id,forecast_hour,is_weekend,occupancy_level,occupancy_percent,expected_wait_minutes,eta_multiplier,source_type
AG7,0,False,3,52.0,6,1.12,baseline_rules
AG7,1,False,3,52.0,6,1.12,baseline_rules
AG7,2,False,3,52.0,6,1.12,baseline_rules
AG7,3,False,3,52.0,6,1.12,baseline_rules
AG7,4,False,3,52.0,6,1.12,baseline_rules
AG7,5,False,3,52.0,6,1.12,baseline_rules
AG7,6,False,3,52.0,6,1.12,baseline_rules
AG7,7,False,4,74.0,8,1.22,baseline_rules
AG7,8,False,5,92.0,10,1.35,baseline_rules
AG7,9,False,3,52.0,6,1.12,baseline_rules
AG7,10,False,3,52.0,6,1.12,baseline_rules
AG7,11,False,3,52.0,6,1.12,baseline_rules
AG7,12,False,3,52.0,6,1.12,baseline_rules
AG7,13,False,3,52.0,6,1.12,baseline_rules
AG7,14,False,3,52.0,6,1.12,baseline_rules
AG7,15,False,3,52.0,6,1.12,baseline_rules
AG7,16,False,3,52.0,6,1.12,baseline_rules
AG7,17,False,5,92.0,10,1.35,baseline_rules
AG7,18,False,5,92.0,10,1.35,baseline_rules
AG7,19,False,4,74.0,8,1.22,baseline_rules
AG7,20,False,3,52.0,6,1.12,baseline_rules
AG7,21,False,3,52.0,6,1.12,baseline_rules
AG7,22,False,3,52.0,6,1.12,baseline_rules
AG7,23,False,3,52.0,6,1.12,baseline_rules
AG7,0,True,2,28.0,4,1.05,baseline_rules
AG7,1,True,2,28.0,4,1.05,baseline_rules
AG7,2,True,2,28.0,4,1.05,baseline_rules
AG7,3,True,2,28.0,4,1.05,baseline_rules
AG7,4,True,2,28.0,4,1.05,baseline_rules
AG7,5,True,2,28.0,4,1.05,baseline_rules
AG7,6,True,2,28.0,4,1.05,baseline_rules
AG7,7,True,2,28.0,4,1.05,baseline_rules
AG7,8,True,2,28.0,4,1.05,baseline_rules
AG7,9,True,2,28.0,4,1.05,baseline_rules
AG7,10,True,3,52.0,6,1.12,baseline_rules
AG7,11,True,3,52.0,6,1.12,baseline_rules
AG7,12,True,3,52.0,6,1.12,baseline_rules
AG7,13,True,3,52.0,6,1.12,baseline_rules
AG7,14,True,3,52.0,6,1.12,baseline_rules
AG7,15,True,3,52.0,6,1.12,baseline_rules
AG7,16,True,3,52.0,6,1.12,baseline_rules
AG7,17,True,3,52.0,6,1.12,baseline_rules
AG7,18,True,3,52.0,6,1.12,baseline_rules
AG7,19,True,3,52.0,6,1.12,baseline_rules
AG7,20,True,3,52.0,6,1.12,baseline_rules
AG7,21,True,2,28.0,4,1.05,baseline_rules
AG7,22,True,2,28.0,4,1.05,baseline_rules
